program,value,vote,year,text
0734030 Effeciency Monitoring and Inspectorate Services,,1011 The Presidency,2019,1011 The Presidency 0734030 Effeciency Monitoring and Inspectorate Services
0734000 Deputy President Services,2.16e+09,1011 The Presidency,2019,1011 The Presidency 0734000 Deputy President Services
0601010 Kenya Police Services,46664932670,1021 State Department for Interior,2019,1021 State Department for Interior 0601010 Kenya Police Services
0601020 Administration Police Services,37114583106,1021 State Department for Interior,2019,1021 State Department for Interior 0601020 Administration Police Services
0601030 Criminal Investigation Services,7111645561,1021 State Department for Interior,2019,1021 State Department for Interior 0601030 Criminal Investigation Services
0601040 General-Paramilitary Service,9501288218,1021 State Department for Interior,2019,1021 State Department for Interior 0601040 General-Paramilitary Service
0601060 Government Chemist Services,,1021 State Department for Interior,2019,1021 State Department for Interior 0601060 Government Chemist Services
0601070 Crime Research,,1021 State Department for Interior,2019,1021 State Department for Interior 0601070 Crime Research
0601000 Policing Services,100392449555,1021 State Department for Interior,2019,1021 State Department for Interior 0601000 Policing Services
"0602010 Planning, Policy Coordination and Support Service",28222158535,1021 State Department for Interior,2019,"1021 State Department for Interior 0602010 Planning, Policy Coordination and Support Service"
0602020 Betting Control and lottery Policy services,112174587,1021 State Department for Interior,2019,1021 State Department for Interior 0602020 Betting Control and lottery Policy services
0602030 Disaster Risk Reduction,37812361,1021 State Department for Interior,2019,1021 State Department for Interior 0602030 Disaster Risk Reduction
0602040 National Campaign against Drug and Substance Abuse,336240000,1021 State Department for Interior,2019,1021 State Department for Interior 0602040 National Campaign against Drug and Substance Abuse
"0602050 Peace Building, National Cohesion and Values",383580000,1021 State Department for Interior,2019,"1021 State Department for Interior 0602050 Peace Building, National Cohesion and Values"
0602060 Special Initiatives,10471914,1021 State Department for Interior,2019,1021 State Department for Interior 0602060 Special Initiatives
0602070 NGO Regulatory Services,183885700,1021 State Department for Interior,2019,1021 State Department for Interior 0602070 NGO Regulatory Services
0602080 Government Chemist Services,361356535,1021 State Department for Interior,2019,1021 State Department for Interior 0602080 Government Chemist Services
0602090 Crime Research,144688400,1021 State Department for Interior,2019,1021 State Department for Interior 0602090 Crime Research
"0602000 Planning, Policy Coordination and Support Service",29792368032,1021 State Department for Interior,2019,"1021 State Department for Interior 0602000 Planning, Policy Coordination and Support Service"
0603010 Government Printing Services,939500000,1021 State Department for Interior,2019,1021 State Department for Interior 0603010 Government Printing Services
0603000 Government Printing Services,939500000,1021 State Department for Interior,2019,1021 State Department for Interior 0603000 Government Printing Services
0605010 Population Registration Services,,1021 State Department for Interior,2019,1021 State Department for Interior 0605010 Population Registration Services
0605000 Migration & Citizen Services Management,,1021 State Department for Interior,2019,1021 State Department for Interior 0605000 Migration & Citizen Services Management
0624010 Betting Control and Lottery Policy Service,,1021 State Department for Interior,2019,1021 State Department for Interior 0624010 Betting Control and Lottery Policy Service
"0624000 Betting Control, Licensing and Regulation Services",,1021 State Department for Interior,2019,"1021 State Department for Interior 0624000 Betting Control, Licensing and Regulation Services"
0625010 Road Safety,2.46e+09,1021 State Department for Interior,2019,1021 State Department for Interior 0625010 Road Safety
0625000 Road Safety,2.46e+09,1021 State Department for Interior,2019,1021 State Department for Interior 0625000 Road Safety
0626010 National Registration Bureau,3765919865,1021 State Department for Interior,2019,1021 State Department for Interior 0626010 National Registration Bureau
0626020 Civil Registration Services,982323631,1021 State Department for Interior,2019,1021 State Department for Interior 0626020 Civil Registration Services
0626030 Integrated Personal Registration Services,2138556504,1021 State Department for Interior,2019,1021 State Department for Interior 0626030 Integrated Personal Registration Services
0626000 Population Management Services,6886800000,1021 State Department for Interior,2019,1021 State Department for Interior 0626000 Population Management Services
0605020 Immigration Services,2638961450,1024 State Department for Immigration and Citizen Services,2019,1024 State Department for Immigration and Citizen Services 0605020 Immigration Services
0605030000 Refugee Affairs,137227653,1024 State Department for Immigration and Citizen Services,2019,1024 State Department for Immigration and Citizen Services 0605030000 Refugee Affairs
0605040 General Administration and Planning,435210897,1024 State Department for Immigration and Citizen Services,2019,1024 State Department for Immigration and Citizen Services 0605040 General Administration and Planning
0605000 Migration & Citizen Services Management,3211400000,1024 State Department for Immigration and Citizen Services,2019,1024 State Department for Immigration and Citizen Services 0605000 Migration & Citizen Services Management
0712010 Management of devolution affairs,127913835,1032 State Department for Devolution,2019,1032 State Department for Devolution 0712010 Management of devolution affairs
0712020 Intergovernmental Relations,425592709,1032 State Department for Devolution,2019,1032 State Department for Devolution 0712020 Intergovernmental Relations
0712030 Capacity building and Civic Education,6898056650,1032 State Department for Devolution,2019,1032 State Department for Devolution 0712030 Capacity building and Civic Education
0712050 Finance Management Services,,1032 State Department for Devolution,2019,1032 State Department for Devolution 0712050 Finance Management Services
0712000 Devolution Services,7451563194,1032 State Department for Devolution,2019,1032 State Department for Devolution 0712000 Devolution Services
0732010 Human Resource and Support Services,321231891,1032 State Department for Devolution,2019,1032 State Department for Devolution 0732010 Human Resource and Support Services
0732020 Finance Management Services,562922959,1032 State Department for Devolution,2019,1032 State Department for Devolution 0732020 Finance Management Services
0732030 Information Communication and Technology,2604500,1032 State Department for Devolution,2019,1032 State Department for Devolution 0732030 Information Communication and Technology
"0732000 General Administration, Planning and Support Services",886759350,1032 State Department for Devolution,2019,"1032 State Department for Devolution 0732000 General Administration, Planning and Support Services"
0713010 Relief & Rehabilitation,54177389,1032 State Department for Devolution,2019,1032 State Department for Devolution 0713010 Relief & Rehabilitation
0713000 Special Initiatives,54177389,1032 State Department for Devolution,2019,1032 State Department for Devolution 0713000 Special Initiatives
0733010 ASAL Development,328271286,1035 State Department for Development of the ASAL,2019,1035 State Department for Development of the ASAL 0733010 ASAL Development
0733020 Drought Management,4349062570,1035 State Department for Development of the ASAL,2019,1035 State Department for Development of the ASAL 0733020 Drought Management
0733030 Administrative Services,242478714,1035 State Department for Development of the ASAL,2019,1035 State Department for Development of the ASAL 0733030 Administrative Services
0733040 Peace and Conflict Management,,1035 State Department for Development of the ASAL,2019,1035 State Department for Development of the ASAL 0733040 Peace and Conflict Management
0733000 Accelerated ASAL Development,4919812570,1035 State Department for Development of the ASAL,2019,1035 State Department for Development of the ASAL 0733000 Accelerated ASAL Development
0801010 National Defense,119808049600,1041 Ministry of Defence,2019,1041 Ministry of Defence 0801010 National Defense
0801000 Defence,119808049600,1041 Ministry of Defence,2019,1041 Ministry of Defence 0801000 Defence
0802010 Civil Aid,2e+08,1041 Ministry of Defence,2019,1041 Ministry of Defence 0802010 Civil Aid
0802000 Civil Aid,2e+08,1041 Ministry of Defence,2019,1041 Ministry of Defence 0802000 Civil Aid
"0803010 Administration, planning and support services",1402033000,1041 Ministry of Defence,2019,"1041 Ministry of Defence 0803010 Administration, planning and support services"
